id,author,full_name,title,year_published,hist_start,hist_end,geography,currents,description
130,Leo Marx,Leo Marx,"Technology: The Emergence of a Hazardous Concept (article)",1997,1750,1997,north_america,determinism,"'Technology' is a surprisingly recent concept that fuses artifacts with vast sociotechnical systems. It mystifies actual human forces driving change — a 'hazardous concept.'"
131,Winner,Langdon Winner,"Upon Opening the Black Box (article)",1993,1980,1993,global,determinism,"Social constructivism opens the black box of technology and finds it empty — no normative commitments, no political analysis, just descriptions of how closure happens."
132,Ceruzzi,Paul E. Ceruzzi,"Moore's Law and Technological Determinism (article)",2005,1965,2005,north_america,computing|determinism,"Moore's Law is a genuine case of technological determinism. The steady doubling of transistor density has been impervious to all social upheaval since 1965."
133,MacKenzie,Donald MacKenzie,"Marx and the Machine (article)",1984,1830,1984,europe,determinism|capitalism,"Marx's account of machinery is more sophisticated than crude determinism — machines embody class relations and are designed to discipline labor, not just increase efficiency."
134,Otter,Chris Otter,"Socializing the Technosphere (article)",2022,1800,2022,global,determinism|environment|systems,"The 'technosphere' — Earth's entire layer of technological artifacts — must be analyzed as a social phenomenon, not just a material one."
135,Hughes,Thomas P. Hughes,"Networks of Power",1983,1880,1930,transatlantic,systems|capitalism,"Electric power systems evolved through phases (invention, transfer, growth, momentum). Systems in different places reflected different societies — 'cultural artifacts.'"
136,John,Richard R. John,"Network Nation",2010,1840,1920,north_america,systems|communication|capitalism,"American telecommunications was shaped by political economy — corporate strategy, regulatory politics, and competing visions of public vs. private networks."
137,Kern,Stephen Kern,"The Culture of Time and Space",1983,1880,1918,transatlantic,communication|determinism,"Technology and independent cultural developments jointly transformed how Europeans and Americans experienced time and space. Private time and democratic space emerged together."
138,Carey,James W. Carey,"Technology and Ideology: The Telegraph (article)",1989,1840,1900,north_america,communication|capitalism,"The telegraph separated communication from transportation. This rupture reorganized commerce, journalism, imperial administration, and the standardization of time."
139,Starosielski,Nicole Starosielski,"Fixed Flow (article)",2015,1860,2015,global,communication|systems,"Undersea cables are not immaterial flows but fixed, vulnerable, geographically embedded infrastructure shaped by colonial routes and environmental constraints."
140,Hunt,Bruce J. Hunt,"Imperial Science",2021,1850,1900,europe,communication|systems|coldwar,"Submarine telegraph cables steered British physics toward field theory. Technology drove science, not the reverse — cable problems created electromagnetic theory."
141,Hochfelder,David Hochfelder,"The Telegraph in America",2012,1832,1920,north_america,communication|capitalism,"The telegraph was revolutionary but its social impact was shaped by institutional, economic, and political contexts. Effects were differential by class, occupation, region."
142,Douglas,Susan J. Douglas,"Inventing American Broadcasting",1987,1899,1922,north_america,communication|gender|innovation,"Radio broadcasting was socially constructed over 23 years. Inventors, corporations, the Navy, amateurs, and the press all competed to define what wireless meant."
143,Müller,Simone M. Müller,"Wiring the World",2016,1850,1900,transatlantic,communication|systems|capitalism,"The global telegraph network was shaped by competing social visions of the 'Class of 1866' — commerce, civilization, peace — not just imperial strategy."
144,Stine & Tarr,Jeffrey K. Stine & Joel A. Tarr,"At the Intersection of Histories (article)",1998,1930,1998,north_america,environment|determinism,"Technology and environment have developed as separate fields despite sharing a fundamental object. Historians of technology must incorporate environmental dimensions."
145,Leo Marx,Leo Marx,"The Machine in the Garden",1964,1840,1960,north_america,environment|determinism,"American culture shaped by collision between pastoral ideal and industrialization. The 'interrupted idyll' — the locomotive intruding on the garden — reveals a structural tension."
146,Leo Marx,Leo Marx,"The Idea of Nature in America (article)",2008,1600,2008,north_america,environment,"Nature as separate from humanity has become intellectually incoherent. The first nature/second nature distinction offers the most promising alternative."
147,Kline,Ronald R. Kline,"Consumers in the Country",2000,1900,1960,north_america,innovation|environment|gender,"Farm people actively resisted and modified 'urbanizing' technologies. Rural modernity was a contested creation, not passive reception of telephone, auto, radio, and electricity."
148,Parr,Joy Parr,"Sensing Changes",2010,1953,2003,canada,environment|gender,"People know environments through sensing bodies, not concepts. When megaprojects destroy habitats, the crisis is corporeal — trained bodies become unreliable in the new world."
149,Steinberg,Theodore Steinberg,"Nature Incorporated",1991,1790,1870,north_america,environment|capitalism,"Industrialization was an environmental event. Water was commodified and privatized for textile mills. Industrial capitalism is 'a system of ecological relations.'"
150,Yergin,Daniel Yergin,"The Prize",1991,1850,1991,global,environment|capitalism|systems,"Oil shaped modern capitalism, geopolitics, and everyday life. Three themes: corporate capitalism, national strategy, and the 'Hydrocarbon Society.'"
151,Williams,Rosalind Williams,"Notes on the Underground",1990,1830,1990,transatlantic,environment|determinism,"Underground worlds — real infrastructure and fiction — model what happens when humans live in manufactured environments. The psychological costs of enclosure."
152,Edgerton,David Edgerton,"The Shock of the Old",2006,1900,2000,global,innovation|determinism,"Technology-in-use tells a radically different story than technology-as-invention. The horse, condom, corrugated iron, and rickshaw matter as much as the airplane and internet."
153,Jones & Wiggins,Matthew L. Jones & Chris Wiggins,"How Data Happened",2023,1750,2023,global,quantification|computing,"Data is not raw material but a historically constructed category. From Quetelet through eugenics through machine learning — each era's data practices encode political choices."
154,Bowker & Star,Geoffrey C. Bowker & Susan Leigh Star,"Sorting Things Out",1999,1900,1999,global,quantification|systems,"Classification systems are powerful invisible technologies. Every scheme 'valorizes some point of view and silences another.' The hidden architecture of bureaucratic power."
155,Bouk,Dan Bouk,"How Our Days Became Numbered",2015,1870,1940,north_america,quantification|capitalism,"Life insurance made Americans into 'statistical individuals' — lives transformed into commodified risks. Risk-making migrated from corporations to public health and Social Security."
156,MacKenzie,Donald MacKenzie,"Inventing Accuracy",1990,1945,1990,north_america,coldwar|determinism|quantification,"Missile accuracy is socially created, not technologically inevitable. Institutional structures and interservice rivalries sustained the drive toward precision."
157,Fourcade & Healy,Marion Fourcade & Kieran Healy,"The Ordinal Society",2024,1990,2024,global,quantification|capitalism|computing,"We live in an 'ordinal society' — continuous automated ranking of individuals through digital data. Classification situations shape life chances; outcomes look like fair consequences."
158,Porter,Theodore M. Porter,"Trust in Numbers",1995,1830,1980,north_america,quantification|determinism,"Quantification is a 'technology of distance' adopted by weak institutions, not powerful ones. Objectivity gains authority where trust is weakest."
159,Bowker,Geoffrey C. Bowker,"How to Be Universal (article)",1993,1943,1970,north_america,coldwar|computing,"Cybernetics succeeded through rhetorical strategies — a new reading of history, universal language, 'legitimacy exchange' — not discovery of deep truths about nature."
160,Galison,Peter Galison,"The Ontology of the Enemy (article)",1994,1940,1960,north_america,coldwar|computing,"Cybernetics originated as a wartime antiaircraft predictor. The enemy pilot became model for the gunner, the nervous system, intentionality itself, and finally the universe."
161,Haraway,Donna Haraway,"A Manifesto for Cyborgs (article)",1985,1970,1985,north_america,gender|coldwar|determinism,"The cyborg — machine/organism hybrid — rejects original unity and natural identity. Feminists must engage with technoscience, not retreat from it."
162,Erickson et al.,Paul Erickson et al.,"Cold War Rationality",2013,1945,1985,north_america,coldwar|quantification,"The interdisciplinary campaign to replace deliberative reason with formal algorithmic rationality. From the Berlin Airlift to Kahneman & Tversky."
163,Medina,Eden Medina,"Cybernetic Revolutionaries",2011,1970,1973,latin_america,coldwar|systems|determinism,"Chile's Cybersyn: political values live in organizational arrangements, not machines. Changing social relations around a technology changes what it does."
164,O'Mara,Margaret O'Mara,"The Code",2019,1940,2019,north_america,capitalism|coldwar|innovation,"Silicon Valley was neither free-market miracle nor government creation — it was both. Massive but invisible federal spending plus entrepreneurial culture."
165,Lécuyer,Christophe Lécuyer,"Making Silicon Valley",2006,1930,1970,north_america,capitalism|coldwar|innovation,"Silicon Valley grew from three successive manufacturing communities — radio, microwave tubes, semiconductors. Military demand plus commercial diversification."
166,Wisnioski,Matthew Wisnioski,"Engineers for Change",2012,1964,1974,north_america,innovation|determinism,"A crisis over technology's meaning split engineering. The outcome was not reform but an 'ideology of technological change' — engineers as passengers on technology's wave."
167,Rankin,Joy Lisi Rankin,"A People's History of Computing",2018,1965,1985,north_america,computing|innovation|gender,"Time-sharing networks enabled communal computing before PCs existed. The shift to personal computers was a loss — from computing citizenship to computing consumption."
168,Campbell-Kelly,Martin Campbell-Kelly,"From Airline Reservations to Sonic the Hedgehog",2003,1950,2000,north_america,computing|capitalism,"The software industry evolved through three sectors — contracting, corporate products, mass-market — each tied to new hardware generations and new business models."
169,Turner,Fred Turner,"From Counterculture to Cyberculture",2006,1960,2000,north_america,computing|innovation|coldwar,"Stewart Brand's network transferred Cold War techno-optimism into mainstream culture as countercultural liberation. Digital utopianism was constructed, not inherent."
170,Brunton,Finn Brunton,"Spam",2013,1970,2013,north_america,computing|communication,"Spam is the 'negative shape' of online community. Wherever people gather on networks, spammers follow, forcing communities into self-definition and governance."
171,Aspray,William Aspray,"John von Neumann and the Origins of Modern Computing",1990,1930,1957,north_america,computing|coldwar,"Von Neumann's impact extended far beyond stored-program architecture — encompassing scientific applications, automata theory, and legitimizing computing as science."
172,Abbate,Janet Abbate,"Inventing the Internet",1999,1960,1995,north_america,computing|coldwar|communication,"The Internet was continuously reinvented through competing agendas. Its design embedded Cold War military values — survivability, flexibility, decentralization."
173,Kelty,Christopher M. Kelty,"Two Bits",2008,1980,2008,north_america,computing|innovation,"Free Software is a 'recursive public' — a collective maintaining the infrastructure through which it exists. Five practices constitute a novel form of democratic action."
174,Hafner & Lyon,Katie Hafner & Matthew Lyon,"Where Wizards Stay Up Late",1996,1960,1975,north_america,computing|coldwar,"The ARPANET was not built to survive nuclear war but to share computing resources. Licklider's vision plus informal collaborative culture drove the network's creation."
175,Mahoney,Michael S. Mahoney,"History of Computing in History of Technology (article)",1988,1940,1988,north_america,computing|determinism,"Computing history must engage analytical questions from history of technology — systems, labor, professionalization — not just hardware origins and pioneers."
176,Light,Jennifer S. Light,"When Computers Were Women (article)",1999,1940,1950,north_america,computing|gender,"~200 women who were ENIAC's first programmers were systematically erased. Sex-typing classified sophisticated mathematical work as 'merely clerical.'"
177,Penn,Jonnie Penn,"Inventing Intelligence (dissertation)",2020,1943,1970,north_america,computing|coldwar|capitalism,"AI was a 'science of industry' from inception. The symbolic/neural-net dichotomy obscures that all founders borrowed from social science to reduce epistemology to code."
178,Jones,Matthew L. Jones,"Reckoning with Matter",2016,1640,1840,europe,computing|innovation|capitalism,"Failed calculating machines from Pascal to Babbage reveal the impossibility of separating mental design from material production. Failure generated our frameworks for invention."
179,Forsythe,Diana E. Forsythe,"Studying Those Who Study Us",2001,1980,2001,north_america,computing|gender,"AI researchers operate within an unexamined culture that 'deletes the social.' Expert systems fail because they encode narrow formalized knowledge, then blame users."
180,Dick,Stephanie Dick,"After Math (dissertation)",2015,1955,1975,north_america,computing|quantification,"Translating mathematical proof into computer programs was not reproduction but transformation — 'reformalism.' New formal tools changed what proof was and what could be known."
181,Collins,Harry Collins,"Artificial Experts",1990,1960,1990,europe,computing|determinism,"Computers are 'social prostheses' whose apparent intelligence derives from human users compensating for deficiencies. Most human knowledge is irreducibly social."
182,Voskuhl,Adelheid Voskuhl,"Androids in the Enlightenment",2013,1770,1800,europe,computing|gender,"Eighteenth-century women automata were products of artisan culture replicating bourgeois body practices — not philosophical experiments or industrial forerunners."
183,Dreyfus,Hubert L. Dreyfus,"What Computers Can't Do",1972,1955,1972,north_america,computing|determinism,"AI rests on unexamined rationalist assumptions. Human intelligence depends on embodied, situated capacities not capturable by formal symbolic operations."
184,Grier,David Alan Grier,"When Computers Were Human",2005,1750,1960,global,computing|gender|quantification,"Organized human computation — groups performing calculations — was shaped by division of labor and mass production. These workers were displaced by the machines their labor justified."
186,Schaffer,Simon Schaffer,"Enlightened Automata (article)",1999,1700,1800,europe,computing|capitalism,"Automata were demonstrations of political and economic order, not just philosophical toys. Machines performing labor served as models for disciplined workforces."
187,Galison,Peter Galison,"Image & Logic",1997,1900,1990,north_america,computing|determinism|quantification,"Physics = semi-autonomous traditions (image, logic, theory) communicating through 'trading zones.' Against Kuhn's monolithic paradigms."
